,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,Simplified_Title,course_title_l,keywords
148,406,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43k,competencias digitales herramientas de ofimtica microsoft word excel power point,"competencias digitales. herramientas de ofimática (microsoft word, excel, power point)","['competencias digitales herramientas', 'competencias digitales', 'digitales herramientas ofimática', 'herramientas ofimática microsoft', 'digitales herramientas', 'ofimática microsoft word', 'ofimática microsoft', 'excel power point', 'power point', 'microsoft word']"
149,474,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350k,competitive strategy organization design,competitive strategy and organization design,"['competitive strategy organization', 'strategy organization design', 'competitive strategy', 'strategy organization', 'organization design', 'strategy', 'organization', 'design', 'competitive']"
150,391,Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5.8k,computational social science,computational social science,"['computational social science', 'computational social', 'social science', 'computational', 'social', 'science']"
151,221,Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33k,computational thinking problem solving,computational thinking for problem solving,"['computational thinking', 'thinking problem solving', 'computational thinking problem', 'problem solving', 'computational', 'thinking problem', 'thinking', 'solving', 'problem']"
152,621,Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27k,computer security systems management,computer security and systems management,"['security systems management', 'computer security systems', 'computer security', 'security systems', 'systems management', 'security', 'systems', 'management', 'computer']"
153,439,Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66k,conflict management,conflict management,"['conflict management', 'conflict', 'management']"
154,728,Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19k,construction cost estimating cost control,construction cost estimating and cost control,"['construction cost estimating', 'construction cost', 'cost estimating', 'cost estimating cost', 'estimating cost control', 'estimating cost', 'cost control', 'construction', 'cost', 'estimating']"
155,48,Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61k,construction management,construction management,"['construction management', 'construction', 'management']"
156,290,Construction Project Management,Columbia University,COURSE,4.8,Beginner,43k,construction project management,construction project management,"['construction project management', 'project management', 'construction project', 'construction', 'management', 'project']"
157,794,Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15k,construction scheduling,construction scheduling,"['construction scheduling', 'scheduling', 'construction']"
158,300,Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220k,contabilidad para contadores,contabilidad para no contadores,"['contabilidad para contadores', 'contabilidad para', 'contabilidad', 'para contadores', 'contadores', 'para']"
159,273,Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27k,content strategy professionals,content strategy for professionals,"['content strategy professionals', 'content strategy', 'strategy professionals', 'professionals', 'content', 'strategy']"
160,448,Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26k,continuous delivery  devops,continuous delivery & devops,"['continuous delivery devops', 'delivery devops', 'devops', 'continuous delivery', 'continuous', 'delivery']"
161,815,Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49k,control mobile robots,control of mobile robots,"['control mobile robots', 'mobile robots', 'control mobile', 'robots', 'control', 'mobile']"
162,207,Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240k,convolutional neural networks,convolutional neural networks,"['convolutional neural networks', 'convolutional neural', 'neural networks', 'convolutional', 'neural', 'networks']"
163,358,Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46k,convolutional neural networks tensorflow,convolutional neural networks in tensorflow,"['neural networks tensorflow', 'convolutional neural networks', 'tensorflow', 'convolutional neural', 'networks tensorflow', 'convolutional', 'neural networks', 'neural', 'networks']"
164,725,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10k,corporate  commercial law i contracts  employment law,corporate & commercial law i: contracts & employment law,"['contracts employment law', 'commercial law contracts', 'employment law', 'law contracts employment', 'corporate commercial law', 'commercial law', 'law contracts', 'contracts employment', 'contracts', 'employment']"
165,458,Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56k,corporate finance essentials,corporate finance essentials,"['corporate finance essentials', 'finance essentials', 'corporate finance', 'finance', 'essentials', 'corporate']"
166,714,Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7.8k,corporate strategy,corporate strategy,"['corporate strategy', 'strategy', 'corporate']"
167,301,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10k,corporate sustainability understanding seizing strategic opportunity,corporate sustainability. understanding and seizing the strategic opportunity,"['corporate sustainability', 'corporate sustainability understanding', 'seizing strategic opportunity', 'sustainability', 'sustainability understanding', 'strategic opportunity', 'sustainability understanding seizing', 'seizing strategic', 'understanding seizing strategic', 'corporate']"
168,691,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75k,correccin estilo variaciones de la lengua espaola,"corrección, estilo y  variaciones de la lengua española","['variaciones la lengua', 'la lengua española', 'lengua española', 'corrección estilo variaciones', 'estilo variaciones la', 'española', 'corrección estilo', 'estilo variaciones', 'la lengua', 'variaciones la']"
169,854,Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15k,cost economics pricing strategy,cost and economics in pricing strategy,"['economics pricing strategy', 'cost economics pricing', 'pricing strategy', 'economics pricing', 'cost economics', 'pricing', 'cost', 'economics', 'strategy']"
170,544,Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43k,costos para los negocios,costos para los negocios,"['para los negocios', 'costos para los', 'negocios', 'costos para', 'los negocios', 'para los', 'costos', 'para', 'los']"
171,179,Crash Course on Python,Google,COURSE,4.8,Beginner,81k,crash course python,crash course on python,"['crash course python', 'course python', 'python', 'crash course', 'course', 'crash']"
172,463,Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140k,creative problem solving,creative problem solving,"['creative problem solving', 'problem solving', 'creative problem', 'solving', 'creative', 'problem']"
173,59,Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140k,creative writing,creative writing,"['creative writing', 'writing', 'creative']"
174,371,Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120k,creative writing craft plot,creative writing: the craft of plot,"['writing craft plot', 'creative writing', 'creative writing craft', 'writing craft', 'writing', 'plot', 'craft plot', 'creative', 'craft']"
175,793,"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150k,creatividad diseo e innovacin tcnicas herramientas,"creatividad, diseño e innovación: técnicas y herramientas","['creatividad diseño innovación', 'diseño innovación técnicas', 'innovación técnicas herramientas', 'diseño innovación', 'innovación técnicas', 'creatividad diseño', 'creatividad', 'innovación', 'técnicas herramientas', 'diseño']"
176,678,Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26k,cuidado de heridas en el mbito hospitalario,cuidado de heridas en el ámbito hospitalario,"['el ámbito hospitalario', 'ámbito hospitalario', 'cuidado heridas en', 'hospitalario', 'cuidado heridas', 'heridas en el', 'heridas en', 'en el ámbito', 'cuidado', 'el ámbito']"
177,730,Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22k,cuidados procedimientos generales en la atencin del recin nacido,cuidados y procedimientos generales en la atención del recién nacido,"['del recién nacido', 'cuidados procedimientos generales', 'recién nacido', 'cuidados procedimientos', 'procedimientos generales en', 'atención del recién', 'procedimientos generales', 'del recién', 'procedimientos', 'generales en la']"
178,248,Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17k,culturedriven team building,culture-driven team building,"['culture driven team', 'team building', 'culture driven', 'driven team building', 'culture', 'team', 'driven team', 'building', 'driven']"
179,820,Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5.5k,curanderismo traditional healing plants,curanderismo: traditional healing using plants,"['healing using plants', 'curanderismo traditional healing', 'traditional healing using', 'traditional healing', 'healing using', 'using plants', 'healing', 'plants', 'curanderismo traditional', 'curanderismo']"
180,566,Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18k,customer segmentation prospecting,customer segmentation and prospecting,"['customer segmentation prospecting', 'customer segmentation', 'segmentation prospecting', 'prospecting', 'customer', 'segmentation']"
181,372,Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99k,cybersecurity,cybersecurity,['cybersecurity']
182,821,Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140k,cybersecurity domains,cybersecurity and its ten domains,"['cybersecurity domains', 'cybersecurity', 'domains']"
183,497,Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23k,cybersecurity business,cybersecurity for business,"['cybersecurity business', 'cybersecurity', 'business']"
184,800,Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55k,cmo hablar bien en pblico,cómo hablar bien en público,"['bien en público', 'en público', 'cómo hablar bien', 'cómo hablar', 'hablar bien en', 'hablar bien', 'público', 'bien en', 'cómo', 'bien']"
185,764,Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23k,dairy production management,dairy production and management,"['dairy production management', 'dairy production', 'dairy', 'production management', 'production', 'management']"
186,812,Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100k,data analysis interpretation,data analysis and interpretation,"['data analysis interpretation', 'analysis interpretation', 'data analysis', 'analysis', 'interpretation', 'data']"
187,39,Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220k,data analysis presentation skills pwc approach,data analysis and presentation skills: the pwc approach,"['presentation skills pwc', 'data analysis presentation', 'analysis presentation skills', 'skills pwc approach', 'presentation skills', 'analysis presentation', 'presentation', 'pwc approach', 'skills pwc', 'data analysis']"
188,277,Data Analysis with Python,IBM,COURSE,4.7,Beginner,110k,data analysis python,data analysis with python,"['data analysis python', 'analysis python', 'data analysis', 'analysis', 'data', 'python']"
189,605,Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24k,data analytics lean sigma,data analytics for lean six sigma,"['data analytics lean', 'analytics lean sigma', 'analytics lean', 'lean sigma', 'data analytics', 'analytics', 'data', 'sigma', 'lean']"
190,783,Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19k,data collection processing python,data collection and processing with python,"['data collection processing', 'collection processing python', 'data collection', 'processing python', 'collection processing', 'data', 'python', 'processing', 'collection']"
191,679,Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3k,data engineering google cloud platform ,data engineering on google cloud platform 日本語版,"['cloud platform 日本語版', 'engineering google cloud', 'data engineering google', 'google cloud platform', 'google cloud', '日本語版', 'engineering google', 'platform 日本語版', 'cloud platform', 'data engineering']"
192,22,Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120k,data engineering google cloud,data engineering with google cloud,"['engineering google cloud', 'data engineering google', 'google cloud', 'data engineering', 'engineering google', 'data', 'cloud', 'google', 'engineering']"
193,24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120k,data engineering big data machine learning gcp,"data engineering, big data, and machine learning on gcp","['machine learning gcp', 'learning gcp', 'data engineering big', 'engineering big data', 'big data machine', 'big data', 'data machine learning', 'gcp', 'data engineering', 'machine learning']"
194,383,Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42k,data management clinical research,data management for clinical research,"['data management clinical', 'data management', 'clinical research', 'management clinical research', 'management clinical', 'data', 'research', 'clinical', 'management']"
195,434,Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140k,data mining,data mining,"['data mining', 'mining', 'data']"
196,13,Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830k,data science,data science,"['data science', 'science', 'data']"
197,399,Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140k,data science math skills,data science math skills,"['data science math', 'science math skills', 'math skills', 'data science', 'data', 'math', 'science math', 'skills', 'science']"
198,198,Data Science Methodology,IBM,COURSE,4.6,Beginner,89k,data science methodology,data science methodology,"['data science methodology', 'science methodology', 'data science', 'methodology', 'data', 'science']"
199,15,Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740k,data science foundations r,data science: foundations using r,"['data science foundations', 'data science', 'science foundations using', 'science foundations', 'data', 'foundations using', 'science', 'foundations', 'using']"
200,148,Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210k,data science statistics machine learning,data science: statistics and machine learning,"['statistics machine learning', 'data science statistics', 'data science', 'science statistics', 'machine learning', 'statistics machine', 'science statistics machine', 'statistics', 'data', 'learning']"
201,686,Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,130k,data visualization communication tableau,data visualization and communication with tableau,"['visualization communication tableau', 'tableau', 'data visualization communication', 'data visualization', 'communication tableau', 'visualization communication', 'visualization', 'data', 'communication']"
202,804,Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60k,data visualization advanced excel,data visualization with advanced excel,"['visualization advanced excel', 'advanced excel', 'data visualization advanced', 'data visualization', 'visualization advanced', 'excel', 'visualization', 'data', 'advanced']"
203,420,Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66k,data visualization python,data visualization with python,"['data visualization python', 'visualization python', 'data visualization', 'visualization', 'python', 'data']"
204,70,Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,96k,data visualization tableau,data visualization with tableau,"['data visualization tableau', 'visualization tableau', 'tableau', 'data visualization', 'visualization', 'data']"
205,288,Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,140k,data warehousing business intelligence,data warehousing for business intelligence,"['warehousing business intelligence', 'data warehousing', 'data warehousing business', 'business intelligence', 'warehousing business', 'warehousing', 'data', 'business', 'intelligence']"
206,871,Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18k,data health indicators public health practice,data and health indicators in public health practice,"['indicators public health', 'health indicators public', 'health indicators', 'public health', 'public health practice', 'data health indicators', 'health practice', 'health', 'data health', 'indicators public']"
207,376,Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120k,datadriven decision making,data-driven decision making,"['data driven decision', 'driven decision making', 'data driven', 'driven decision', 'decision making', 'data', 'decision', 'driven', 'making']"
208,263,Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,110k,databases sql data science,databases and sql for data science,"['sql data science', 'databases sql data', 'databases sql', 'databases', 'sql', 'sql data', 'data science', 'data', 'science']"
209,519,De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,150k,demystifying mindfulness,de-mystifying mindfulness,"['mystifying mindfulness', 'mindfulness', 'mystifying']"
210,813,Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed,31k,decisionmaking scenarios,decision-making and scenarios,"['decision making scenarios', 'decision making', 'scenarios', 'making scenarios', 'decision', 'making']"
211,5,Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690k,deep learning,deep learning,"['deep learning', 'learning', 'deep']"
212,599,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44k,democracia decisiones pblicas introduccin al anlisis de polticas pblicas,democracia y decisiones públicas. introducción al análisis de políticas públicas,"['análisis políticas públicas', 'democracia decisiones públicas', 'democracia decisiones', 'decisiones públicas', 'análisis políticas', 'al análisis políticas', 'políticas públicas', 'decisiones públicas introducción', 'políticas', 'públicas introducción']"
213,806,Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4.5k,dentistry 101,dentistry 101,"['dentistry 101', 'dentistry', '101']"
214,627,Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,8.2k,dermatology trip skin,dermatology: trip to skin,"['dermatology trip skin', 'dermatology trip', 'dermatology', 'trip skin', 'skin', 'trip']"
215,100,Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,240k,design thinking innovation,design thinking for innovation,"['design thinking innovation', 'design thinking', 'thinking innovation', 'innovation', 'design', 'thinking']"
216,674,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17k,design thinking greater good innovation social sector,design thinking for the greater good: innovation in the social sector,"['innovation social sector', 'design thinking', 'good innovation social', 'innovation social', 'design thinking greater', 'greater good innovation', 'design', 'innovation', 'good innovation', 'social sector']"
217,139,Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,67k,design interpretation clinical trials,design and interpretation of clinical trials,"['interpretation clinical trials', 'clinical trials', 'design interpretation clinical', 'interpretation clinical', 'design interpretation', 'trials', 'clinical', 'design', 'interpretation']"
218,522,Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,97k,design infographics projectcentered course,design and make infographics (project-centered course),"['make infographics project', 'infographics project centered', 'infographics project', 'design make infographics', 'make infographics', 'project centered course', 'infographics', 'project centered', 'project', 'centered course']"
219,430,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19k,designled strategy design thinking business strategy entrepreneurship,design-led strategy: design thinking for business strategy and entrepreneurship,"['strategy design thinking', 'design thinking business', 'business strategy entrepreneurship', 'thinking business strategy', 'strategy entrepreneurship', 'design thinking', 'business strategy', 'strategy design', 'thinking business', 'design']"
220,338,Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,16k,developing apis google clouds apigee api platform,developing apis with google cloud's apigee api platform,"['google cloud apigee', 'apigee api platform', 'apis google cloud', 'developing apis google', 'cloud apigee api', 'cloud apigee', 'apigee api', 'developing apis', 'apis google', 'api platform']"
221,18,Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,developing applications google cloud platform,developing applications with google cloud platform,"['applications google cloud', 'google cloud platform', 'developing applications google', 'google cloud', 'cloud platform', 'applications google', 'developing applications', 'cloud', 'applications', 'platform']"
222,644,Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate,4k,developing applications google cloud platform ,developing applications with google cloud platform 日本語版,"['cloud platform 日本語版', 'google cloud platform', 'developing applications google', 'applications google cloud', 'platform 日本語版', '日本語版', 'google cloud', 'applications google', 'cloud platform', 'developing applications']"
223,720,Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8k,developing industrial internet things,developing industrial internet of things,"['industrial internet things', 'developing industrial internet', 'industrial internet', 'developing industrial', 'internet things', 'industrial', 'internet', 'developing', 'things']"
224,756,Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,41k,developing musicianship,developing your musicianship,"['developing musicianship', 'musicianship', 'developing']"
225,205,Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54k,developing musicianship,developing your musicianship,"['developing musicianship', 'musicianship', 'developing']"
226,397,Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54k,devenir entrepreneur du changement,devenir entrepreneur du changement,"['entrepreneur du changement', 'devenir entrepreneur du', 'entrepreneur du', 'devenir entrepreneur', 'du changement', 'changement', 'entrepreneur', 'devenir', 'du']"
227,239,Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9k,digital advertising strategy,digital advertising strategy,"['digital advertising strategy', 'advertising strategy', 'digital advertising', 'advertising', 'strategy', 'digital']"
228,855,Digital Business Models,Lund University,COURSE,4.5,Beginner,21k,digital business models,digital business models,"['digital business models', 'digital business', 'business models', 'business', 'digital', 'models']"
229,237,Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37k,digital manufacturing  design technology,digital manufacturing & design technology,"['digital manufacturing design', 'digital manufacturing', 'manufacturing design technology', 'manufacturing design', 'design technology', 'manufacturing', 'design', 'technology', 'digital']"
230,28,Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380k,digital marketing,digital marketing,"['digital marketing', 'marketing', 'digital']"
231,852,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57k,digital media marketing strategies,digital media and marketing strategies,"['digital media marketing', 'media marketing strategies', 'media marketing', 'marketing strategies', 'marketing', 'digital media', 'media', 'strategies', 'digital']"
232,53,Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,140k,digital product management,digital product management,"['digital product management', 'product management', 'digital product', 'product', 'digital', 'management']"
233,381,Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58k,digital product management modern fundamentals,digital product management: modern fundamentals,"['digital product management', 'digital product', 'product management', 'product management modern', 'management modern fundamentals', 'digital', 'product', 'management modern', 'management', 'modern fundamentals']"
234,490,Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35k,dino 101 dinosaur paleobiology,dino 101: dinosaur paleobiology,"['101 dinosaur paleobiology', 'dinosaur paleobiology', 'paleobiology', 'dinosaur', 'dino', 'dino 101 dinosaur', 'dino 101', '101 dinosaur', '101']"
235,697,Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40k,discrete optimization,discrete optimization,"['discrete optimization', 'optimization', 'discrete']"
236,675,Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4k,diseo instruccional aprendizaje activo pedagoga digital,diseño instruccional: aprendizaje activo y pedagogía digital,"['activo pedagogía digital', 'pedagogía digital', 'aprendizaje activo pedagogía', 'diseño instruccional aprendizaje', 'activo pedagogía', 'instruccional aprendizaje activo', 'instruccional aprendizaje', 'aprendizaje activo', 'diseño instruccional', 'pedagogía']"
237,711,Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21k,diseo creacin de un emprendimiento social,diseño y creación de un emprendimiento social,"['creación emprendimiento social', 'emprendimiento social', 'diseño creación emprendimiento', 'creación emprendimiento', 'emprendimiento', 'social', 'diseño creación', 'creación', 'diseño']"
238,378,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130k,divide conquer sorting searching randomized algorithms,"divide and conquer, sorting and searching, and randomized algorithms","['randomized algorithms', 'searching randomized algorithms', 'sorting searching randomized', 'searching randomized', 'algorithms', 'divide conquer sorting', 'conquer sorting searching', 'conquer sorting', 'sorting', 'sorting searching']"
239,392,Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150k,dog emotion cognition,dog emotion and cognition,"['dog emotion cognition', 'dog emotion', 'emotion cognition', 'dog', 'emotion', 'cognition']"
240,624,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k,driving business sustainable development goals,driving business towards the sustainable development goals,"['driving business sustainable', 'business sustainable development', 'sustainable development goals', 'business sustainable', 'sustainable development', 'development goals', 'driving business', 'business', 'sustainable', 'development']"
241,487,Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17k,drug commercialization,drug commercialization,"['drug commercialization', 'commercialization', 'drug']"
242,342,Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39k,drug discovery,drug discovery,"['drug discovery', 'drug', 'discovery']"
243,166,Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k,dynamic public speaking,dynamic public speaking,"['dynamic public speaking', 'public speaking', 'speaking', 'dynamic', 'dynamic public', 'public']"
244,832,EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.1k,emt foundations,emt foundations,"['emt foundations', 'emt', 'foundations']"
245,494,Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18k,ecology ecosystem dynamics conservation,ecology: ecosystem dynamics and conservation,"['ecosystem dynamics conservation', 'ecology ecosystem dynamics', 'ecosystem dynamics', 'ecology ecosystem', 'ecosystem', 'ecology', 'conservation', 'dynamics conservation', 'dynamics']"
246,641,Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110k,econometrics methods applications,econometrics: methods and applications,"['econometrics', 'econometrics methods', 'econometrics methods applications', 'methods', 'methods applications', 'applications']"
247,229,Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,83k,economics money banking,economics of money and banking,"['economics money banking', 'economics money', 'money banking', 'banking', 'economics', 'money']"
248,707,Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16k,ecosystem services method sustainable development,ecosystem services: a method for sustainable development,"['ecosystem services', 'ecosystem services method', 'ecosystem', 'method sustainable development', 'sustainable development', 'services method sustainable', 'sustainable', 'method sustainable', 'services', 'services method']"
249,773,Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3.4k,effective compliance programs,effective compliance programs,"['effective compliance programs', 'compliance programs', 'effective compliance', 'compliance', 'programs', 'effective']"
250,636,Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k,egiptologa egyptology,egiptología (egyptology),"['egiptología egyptology', 'egyptology', 'egiptología']"
251,789,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1.5k,el abogado del futuro legaltech la transformacin digital del derecho,el abogado del futuro: legaltech y la transformación digital del derecho,"['legaltech la transformación', 'del futuro legaltech', 'futuro legaltech la', 'la transformación digital', 'transformación digital del', 'transformación digital', 'futuro legaltech', 'digital del derecho', 'legaltech', 'abogado del futuro']"
252,564,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57k,elastic google cloud infrastructure scaling automation,elastic google cloud infrastructure: scaling and automation,"['google cloud infrastructure', 'elastic google cloud', 'cloud infrastructure scaling', 'infrastructure scaling automation', 'cloud infrastructure', 'scaling automation', 'elastic google', 'infrastructure scaling', 'google cloud', 'automation']"
253,870,Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12k,electric industry operations markets,electric industry operations and markets,"['electric industry operations', 'electric industry', 'industry operations markets', 'operations markets', 'industry operations', 'markets', 'electric', 'industry', 'operations']"
254,122,Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k,electronic music production,electronic music production,"['electronic music production', 'music production', 'electronic music', 'music', 'electronic', 'production']"
255,733,Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17k,emerging technologies smartphones iot big data,emerging technologies: from smartphones to iot to big data,"['emerging technologies smartphones', 'technologies smartphones iot', 'smartphones iot big', 'technologies smartphones', 'emerging technologies', 'smartphones iot', 'iot big data', 'iot big', 'iot', 'smartphones']"
256,267,"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37k,energy production distribution  safety,"energy production, distribution & safety","['energy production distribution', 'energy production', 'production distribution safety', 'distribution safety', 'production distribution', 'energy', 'safety', 'production', 'distribution']"
257,461,Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14k,engineering health introduction yoga physiology,engineering health: introduction to yoga and physiology,"['introduction yoga physiology', 'yoga physiology', 'health introduction yoga', 'introduction yoga', 'yoga', 'engineering health introduction', 'engineering health', 'physiology', 'health introduction', 'health']"
